state,total_deaths_2021
Alabama,4330518
Alaska,163285
Arizona,6590800
Arkansas,2367660
California,22532428
Colorado,2613748
Connecticut,2976567
Delaware,626824
District of Columbia,403369
Florida,15333245
Georgia,7791745
Hawaii,222578
Idaho,902682
Illinois,9306526
Indiana,5153509
Iowa,2237680
Kansas,1949297
Kentucky,2694739
Louisiana,4216618
Maine,328660
Maryland,3421061
Massachusetts,6429075
Michigan,7460163
Minnesota,2821148
Mississippi,2904293
Missouri,3857075
Montana,652381
Nebraska,927516
Nevada,2202413
New Hampshire,499834
New Jersey,9406432
New Mexico,1581838
New York,18918470
North Carolina,5081693
North Dakota,586612
Ohio,7327426
Oklahoma,2676902
Oregon,1151644
Pennsylvania,10025434
Puerto Rico,939789
Rhode Island,974120
South Carolina,3802518
South Dakota,743847
Tennessee,4791671
Texas,20088968
Utah,911303
Vermont,100847
Virginia,4077397
Washington,2360221
West Virginia,1154358
Wisconsin,2972997
Wyoming,316182
